left_id,right_id,left_name,right_name,left_department,right_department,left_city,right_city,confidence,decision,reason,match_summary,pan_component,gstin_component,name_component,address_component,pincode_component,phonetic_component,behavioural_boost_component
ele_1,fac_1,Shri Pragathi Retai l1 Traders,Sri Pragathi Retail 1,electricity,factories,Mysuru,Mysuru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=5,PAN=0.35 GSTIN=0.3 NAME=0.1482 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1482,0.1,0.05,0.0,0.3
ele_1,fac_1_dup,Shri Pragathi Retai l1 Traders,Sri Pragathi Retail 1,electricity,factories,Mysuru,Mysuru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=5,PAN=0.35 GSTIN=0.3 NAME=0.1482 ADDR=0.0444 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1482,0.0444,0.05,0.0,0.3
ele_1,pol_1,Shri Pragathi Retai l1 Traders,Pragathi Retail 1 LLP,electricity,pollution,Mysuru,Mysuru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=5,PAN=0.35 GSTIN=0.3 NAME=0.1482 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1482,0.1,0.05,0.0,0.3
ele_1,sho_1,Shri Pragathi Retai l1 Traders,Pragathi Retail 1 LLP,electricity,shops,Mysuru,Mysuru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.1482 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1482,0.1,0.05,0.0,0.3
ele_10,fac_10,M/s Classic Bakery 10 LLP,Shri Classic Bakery 10,electricity,factories,Bengaluru,Bengaluru,0.8699,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=4,PAN=0.0 GSTIN=0.3 NAME=0.1199 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1199,0.1,0.05,0.0,0.3
ele_10,pol_10,M/s Classic Bakery 10 LLP,Classic Bakery 10 Traders,electricity,pollution,Bengaluru,Bengaluru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=5,PAN=0.35 GSTIN=0.3 NAME=0.1199 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1199,0.1,0.05,0.0,0.3
ele_10,pol_10_dup,M/s Classic Bakery 10 LLP,Classic Bakery 10 Traders,electricity,pollution,Bengaluru,Bengaluru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=5,PAN=0.35 GSTIN=0.3 NAME=0.1199 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1199,0.05,0.05,0.0,0.3
ele_10,sho_10,M/s Classic Bakery 10 LLP,Classic Bakery 10 Bakerys,electricity,shops,Bengaluru,Bengaluru,0.8539,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=6,PAN=0.0 GSTIN=0.3 NAME=0.1039 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1039,0.1,0.05,0.0,0.3
ele_11,fac_11,Kaveri Retail 11 LLP,Kaveri Retail 11,electricity,factories,Mysuru,Mysuru,0.95,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=5,PAN=0.35 GSTIN=0.0 NAME=0.15 ADDR=0.05 PIN=0.05 PH=0.05 BOOST=0.3,0.35,0.0,0.15,0.05,0.05,0.05,0.3
ele_11,fac_11_dup,Kaveri Retail 11 LLP,Kaveri Retail 11,electricity,factories,Mysuru,Mysuru,0.9444,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-4_days_cycles=5,PAN=0.35 GSTIN=0.0 NAME=0.15 ADDR=0.0444 PIN=0.05 PH=0.05 BOOST=0.3,0.35,0.0,0.15,0.0444,0.05,0.05,0.3
ele_11,pol_11,Kaveri Retail 11 LLP,Sri Kaveri Retail 11 Retails,electricity,pollution,Mysuru,Mysuru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=4,PAN=0.35 GSTIN=0.3 NAME=0.14 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.14,0.1,0.05,0.0,0.3
ele_11,sho_11,Kaveri Retail 11 LLP,Shri KaveriR etail 11 Retails,electricity,shops,Mysuru,Mysuru,1.0,AUTO_LINK,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=6,PAN=0.35 GSTIN=0.3 NAME=0.1381 ADDR=0.1 PIN=0.05 PH=0.0 BOOST=0.3,0.35,0.3,0.1381,0.1,0.05,0.0,0.3
ele_12,fac_12,Sayhadri Fabrication 12 Pvt Ltd,M/s Sahyadri Fabrication 12 Pvt Ltd,electricity,factories,Hubballi,Hubballi,0.5209,SEPARATE,weighted_fellegi_sunter|no_lag_boost_inconsistent_pattern,PAN=0.0 GSTIN=0.3 NAME=0.1209 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.0,0.0,0.3,0.1209,0.05,0.05,0.0,0.0
ele_12,pol_12,Sayhadri Fabrication 12 Pvt Ltd,Sri Sahyadri Fabrication 12,electricity,pollution,Hubballi,Hubballi,0.8483,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=0_days_cycles=3,PAN=0.0 GSTIN=0.3 NAME=0.1483 ADDR=0.05 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1483,0.05,0.05,0.0,0.3
ele_12,sho_12,Sayhadri Fabrication 12 Pvt Ltd,Sri Sahyadri Fabrication 12 Traders,electricity,shops,Hubballi,Hubballi,0.8358,REVIEW,weighted_fellegi_sunter|behavioural_lag_boost_lag=-2_days_cycles=3,PAN=0.0 GSTIN=0.3 NAME=0.1483 ADDR=0.0375 PIN=0.05 PH=0.0 BOOST=0.3,0.0,0.3,0.1483,0.0375,0.05,0.0,0.3
