source_department,source_id,business_key,name,address,pincode,pan,gstin,owner_name,nic_code,industry_sector,city,inspection_dates,event_history,closure_date
shops,sho_1,BIZ-00001,Pragathi Retail 1 Pvt Ltd,"No 1, Main Road, Industrial Area, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-17|2023-04-17|2023-07-09|2023-10-14|2024-01-12,inspection:2023-01-17|inspection:2023-04-17|inspection:2023-07-09|inspection:2023-10-14|inspection:2024-01-12|renewal:2024-04-14|renewal:2025-04-19|renewal:2026-04-01,
factories,fac_1,BIZ-00001,Pragathi Retail 1,"No 1, Main Road, Industrial Area, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-16|2023-04-16|2023-07-15|2023-10-13|2024-01-11,inspection:2023-01-16|inspection:2023-04-16|inspection:2023-07-15|inspection:2023-10-13|inspection:2024-01-11|renewal:2025-04-04|renewal:2026-04-13,
factories,fac_1_dup,BIZ-00001,Pragathi Reatil 1,"Plot 1, Main Road, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-16|2023-04-16|2023-07-15|2023-10-13|2024-01-11,inspection:2023-01-16|inspection:2023-04-16|inspection:2023-07-15|inspection:2023-10-13|inspection:2024-01-11|renewal:2025-04-04|renewal:2026-04-13,
pollution,pol_1,BIZ-00001,Pragathi Retail 1 Pvt Ltd,"No 1, Main Road, Industrial Area, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-18|2023-04-18|2023-07-17|2023-10-15|2024-01-13,inspection:2023-01-18|inspection:2023-04-18|inspection:2023-07-17|inspection:2023-10-15|inspection:2024-01-13,
electricity,ele_1,BIZ-00001,M/s Pragathi Retail 1 Pvt Ltd,"Door 1, Industrial Area, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-19|2023-04-19|2023-07-18|2023-10-16|2024-01-14,inspection:2023-01-19|inspection:2023-04-19|inspection:2023-07-18|inspection:2023-10-16|inspection:2024-01-14|electricity_bill:2025-09-03|electricity_bill:2025-10-06|electricity_bill:2025-11-06|electricity_bill:2025-12-04|electricity_bill:2026-01-02|electricity_bill:2026-02-02|electricity_bill:2026-03-06|electricity_bill:2026-04-04|electricity_bill:2026-05-05,
shops,sho_2,BIZ-00002,Shri Shree Durga Fabrication 2 LLP,"2 Main Rd, Ind Area, Hubballi",560002,ABCDE0002F,,Owner 2,2599,Fabrication,Hubballi,2023-01-27|2023-04-27|2023-07-26|2023-10-24|2024-01-22|2024-04-21,inspection:2023-01-27|inspection:2023-04-27|inspection:2023-07-26|inspection:2023-10-24|inspection:2024-01-22|inspection:2024-04-21|renewal:2026-04-26,
factories,fac_2,BIZ-00002,Shree Durga Fabrication 2 Fabrications,"No 2, Main Road, Industrial Area, Hubballi",560002,ABCDE0002F,29ABCDE0002F1Z3,Owner 2,2599,Fabrication,Hubballi,2023-01-26|2023-04-26|2023-07-25|2023-10-23|2024-01-21|2024-04-20,inspection:2023-01-26|inspection:2023-04-26|inspection:2023-07-25|inspection:2023-10-23|inspection:2024-01-21|renewal:2024-04-04|inspection:2024-04-20|renewal:2025-04-06|renewal:2026-04-24,
pollution,pol_2,BIZ-00002,M/s Shree Durga Fabrication 2 Pvt Ltd,"Door 2, Industrial Area, Hubballi",560002,ABCDE0002F,29ABCDE0002F1Z3,Owner 2,2599,Fabrication,Hubballi,2023-01-28|2023-04-28|2023-07-27|2023-10-30|2024-01-23|2024-04-22,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|inspection:2023-10-30|inspection:2024-01-23|inspection:2024-04-22|filing:2026-05-05,
electricity,ele_2,BIZ-00002,Shri Shree Durga Fabrication 2,"No 2, Main Road, Industrial Area, Hubballi",560002,ABCDE0002F,29ABCDE0002F1Z3,Owner 2,2599,Fabrication,Hubballi,2023-01-29|2023-05-04|2023-07-28|2023-10-26|2024-01-24|2024-04-23,inspection:2023-01-29|inspection:2023-05-04|inspection:2023-07-28|inspection:2023-10-26|inspection:2024-01-24|inspection:2024-04-23|electricity_bill:2025-06-07|electricity_bill:2025-07-04|electricity_bill:2025-08-07|electricity_bill:2025-09-02|electricity_bill:2025-10-02|electricity_bill:2025-11-02|electricity_bill:2025-12-05|electricity_bill:2026-01-02|electricity_bill:2026-01-31|electricity_bill:2026-03-02|electricity_bill:2026-04-03|electricity_bill:2026-05-04,
shops,sho_3,BIZ-00003,Sayhadri Lodging 3 Pvt Ltd,"No 3, Main Road, Industrial Area, Mangaluru",560003,,29ABCDE0003F1Z4,Owner 3,5510,Lodging,Mangaluru,2023-02-04|2023-05-05|2023-08-03|2023-11-01|2024-01-30|2024-04-29,inspection:2023-02-04|inspection:2023-05-05|inspection:2023-08-03|inspection:2023-11-01|inspection:2024-01-30|renewal:2024-04-07|inspection:2024-04-29|renewal:2025-04-24|renewal:2026-04-19,
factories,fac_3,BIZ-00003,Shri Sahyadri Lodging 3 Enterprises,"Door 3, Industrial Area, Mangaluru",560003,ABCDE0003F,,Owner 3,5510,Lodging,Mangaluru,2023-02-03|2023-05-04|2023-08-02|2023-10-31|2024-01-29|2024-04-28,inspection:2023-02-03|inspection:2023-05-04|inspection:2023-08-02|inspection:2023-10-31|inspection:2024-01-29|renewal:2024-04-11|inspection:2024-04-28|renewal:2025-04-04|renewal:2026-04-07,
pollution,pol_3,BIZ-00003,Sahyadri Lodging 3 Lodgings,"No 3, Main Road, Industrial Area, Mangaluru",560003,ABCDE0003F,29ABCDE0003F1Z4,Owner 3,5510,Lodging,Mangaluru,2023-02-05|2023-05-06|2023-08-04|2023-10-26|2024-01-31|2024-04-23,inspection:2023-02-05|inspection:2023-05-06|inspection:2023-08-04|inspection:2023-10-26|inspection:2024-01-31|inspection:2024-04-23|filing:2026-05-05,
electricity,ele_3,BIZ-00003,Shri Sahyadri Lodging 3 Traders,"No 3, Main Road, Industrial Area, Mangaluru",560003,ABCDE0003F,29ABCDE0003F1Z4,Owner 3,5510,Lodging,Mangaluru,2023-02-06|2023-05-07|2023-08-05|2023-11-03|2024-02-01|2024-05-06,inspection:2023-02-06|inspection:2023-05-07|inspection:2023-08-05|inspection:2023-11-03|inspection:2024-02-01|inspection:2024-05-06|electricity_bill:2025-07-07|electricity_bill:2025-08-03|electricity_bill:2025-09-07|electricity_bill:2025-10-03|electricity_bill:2025-11-01|electricity_bill:2025-12-02|electricity_bill:2026-01-05|electricity_bill:2026-02-03|electricity_bill:2026-03-04|electricity_bill:2026-04-04|electricity_bill:2026-05-04,
electricity,ele_3_dup,BIZ-00003,Shri Sahyadri Lodging 3 Traders,"Door 3, Industrial Area, Mangaluru",560003,ABCDE0003F,29ABCDE0003F1Z4,Owner 3,5510,Lodging,Mangaluru,2023-02-06|2023-05-07|2023-08-05|2023-11-03|2024-02-01|2024-05-06,inspection:2023-02-06|inspection:2023-05-07|inspection:2023-08-05|inspection:2023-11-03|inspection:2024-02-01|inspection:2024-05-06|electricity_bill:2025-07-07|electricity_bill:2025-08-03|electricity_bill:2025-09-07|electricity_bill:2025-10-03|electricity_bill:2025-11-01|electricity_bill:2025-12-02|electricity_bill:2026-01-05|electricity_bill:2026-02-03|electricity_bill:2026-03-04|electricity_bill:2026-04-04|electricity_bill:2026-05-04,
shops,sho_4,BIZ-00004,Mysore Restaurant 4L LP,"No 4, Main Road, Industrial Area, Belagavi",560004,ABCDE0004F,29ABCDE0004F1Z5,Owner 4,5610,Restaurant,Belagavi,2023-01-06|2023-04-06|2023-07-05|2023-09-30,inspection:2023-01-06|inspection:2023-04-06|inspection:2023-07-05|inspection:2023-09-30|closure:2025-09-03,2025-09-03
factories,fac_4,BIZ-00004,Shri Mysore Restaurant 4 Traders,"No 4, Main Road, Industrial Area, Belagavi",560004,,29ABCDE0004F1Z5,Owner 4,5610,Restaurant,Belagavi,2023-01-05|2023-04-05|2023-07-04|2023-10-02,inspection:2023-01-05|inspection:2023-04-05|inspection:2023-07-04|inspection:2023-10-02|closure:2025-09-03,2025-09-03
pollution,pol_4,BIZ-00004,Sri Mysore Restaurant 4,"No 4, Main Road, Industrial Area, Belagavi",560004,ABCDE0004F,29ABCDE0004F1Z5,Owner 4,5610,Restaurant,Belagavi,2023-01-07|2023-04-07|2023-07-06|2023-10-04,inspection:2023-01-07|inspection:2023-04-07|inspection:2023-07-06|inspection:2023-10-04|closure:2025-09-03,2025-09-03
electricity,ele_4,BIZ-00004,M/s yMsore Restaurant 4 Traders,"No 4, Main Road, Industrial Area, Belagavi",560004,ABCDE0004F,29ABCDE0004F1Z5,Owner 4,5610,Restaurant,Belagavi,2023-01-01|2023-04-08|2023-07-07|2023-09-28,inspection:2023-01-01|inspection:2023-04-08|inspection:2023-07-07|inspection:2023-09-28|closure:2025-09-03,2025-09-03
shops,sho_5,BIZ-00005,M/s Shree Durga Bakery 5 Bakerys,"Plot 5, Main Road, Bengaluru",560005,ABCDE0005F,29ABCDE0005F1Z6,Owner 5,1071,Bakery,Bengaluru,2023-01-27|2023-05-04|2023-08-02|2023-10-31|2024-01-29,inspection:2023-01-27|inspection:2023-05-04|inspection:2023-08-02|inspection:2023-10-31|inspection:2024-01-29|renewal:2026-04-05,
factories,fac_5,BIZ-00005,Shree Durga Bakery 5 Traders,"5 Main Rd, Ind Area, Bengaluru",560005,ABCDE0005F,29ABCDE0005F1Z6,Owner 5,1071,Bakery,Bengaluru,2023-02-02|2023-05-03|2023-08-01|2023-10-30|2024-01-28,inspection:2023-02-02|inspection:2023-05-03|inspection:2023-08-01|inspection:2023-10-30|inspection:2024-01-28|renewal:2024-04-20|renewal:2025-04-08|renewal:2026-04-26,
pollution,pol_5,BIZ-00005,Sri Shree Durga Bakery 5 Pvt Ltd,"5 Main Rd, Ind Area, Bengaluru",560005,ABCDE0005F,29ABCDE0005F1Z6,Owner 5,1071,Bakery,Bengaluru,2023-01-28|2023-05-05|2023-08-12|2023-11-01|2024-01-27,inspection:2023-01-28|inspection:2023-05-05|inspection:2023-08-12|inspection:2023-11-01|inspection:2024-01-27|filing:2026-05-05,
electricity,ele_5,BIZ-00005,Sri Shree Durga Bakery 5 Traders,"No 5, Main Road, Industrial Area, Bengaluru",560005,ABCDE0005F,29ABCDE0005F1Z6,Owner 5,1071,Bakery,Bengaluru,2023-02-05|2023-05-06|2023-08-04|2023-11-02|2024-01-31,inspection:2023-02-05|inspection:2023-05-06|inspection:2023-08-04|inspection:2023-11-02|inspection:2024-01-31|electricity_bill:2025-08-08|electricity_bill:2025-09-05|electricity_bill:2025-10-03|electricity_bill:2025-11-05|electricity_bill:2025-12-04|electricity_bill:2026-01-05|electricity_bill:2026-02-04|electricity_bill:2026-03-04|electricity_bill:2026-04-01|electricity_bill:2026-04-30,
shops,sho_6,BIZ-00006,Karnataka Retail 6 LLP,"No 6, Main Road, Industrial Area, Mysuru",560006,ABCDE0006F,29ABCDE0006F1Z7,Owner 6,4711,Retail,Mysuru,2023-01-29|2023-04-29|2023-07-28|2023-10-26|2024-01-24,inspection:2023-01-29|inspection:2023-04-29|inspection:2023-07-28|inspection:2023-10-26|inspection:2024-01-24|renewal:2024-04-12|renewal:2025-04-22|renewal:2026-04-20,
factories,fac_6,BIZ-00006,Shri Karnataka Retail 6 Retails,"Plot 6, Main Road, Mysuru",560006,ABCDE0006F,29ABCDE0006F1Z7,Owner 6,4711,Retail,Mysuru,2023-01-28|2023-04-28|2023-07-27|2023-10-25|2024-01-23,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|inspection:2023-10-25|inspection:2024-01-23|renewal:2024-04-06|renewal:2025-04-10|renewal:2026-04-27,
